Phishing attack,Age_Link_Meta,RegLen_PageRank,URLLen_ContentLen,Subdomain_URLLen,RespTime_Link_Meta,RespTime_Traffic,Subdomain_Age
0,6932.382254,8901,216954,102,872.5075327,73411365,21810
1,3070.784608,-243,492240,0,494.1695093,60126454,0
0,253.2813253,20172,69740,11,227.2323404,273757738,3092
1,2718.864221,15085,565380,216,446.7134213,11753760,12684
0,2416.161067,11184,206414,51,783.7137782,3074456,20847
1,514.9844291,14144,68160,64,201.0097386,132566277,21244
1,2085.899742,-16,325496,276,338.2205283,48309534,15153
1,41.84266419,3500,58466,123,131.712508,93681872,3552
0,171.8589441,5028,853936,0,415.5070674,12703410,0
1,86.62423293,120,378293,93,154.4345151,143261043,3246
0,5797.472952,7742,263649,69,3820.894721,463680360,7101
0,1350.072766,1266,346720,320,1701.855454,101658556,12020
0,1890.050735,11056,86240,231,2826.616159,190297040,5697
0,3096.860473,13704,1740780,380,1407.462036,100343180,27900
0,219.8578886,3628,144243,279,142.5437154,153140292,9606
0,5328.402859,8416,444336,0,3389.573546,344634012,0
0,157.5999032,9213,1270161,81,592.4710053,41319942,241
0,627.5348773,5325,91596,0,1655.163525,95882245,0
1,2506.139037,24150,573440,128,1672.434381,176119727,21944
0,256.0969552,15264,1385650,296,12.83734737,9028278,12608
1,717.3937368,11442,262089,27,1157.33488,108815692,1585
1,363.1712754,20685,416619,0,1632.670082,336267990,0
1,338.1015484,1631,981156,198,213.7878644,99056520,11529
0,54.22671,29772,320742,0,174.9353665,170657013,0
1,877.7320148,2527,207163,22,1204.721529,3431378,3962
1,287.2189149,16674,499038,124,993.5211906,360661800,2152
0,6076.940905,5509,497466,174,1598.541216,95484802,19080
0,2835.800081,9915,56336,48,1052.263335,170516922,14577
0,1715.144909,8427,273156,136,1026.633452,248454128,17896
0,4282.276725,18072,1302144,96,701.4537912,94865202,7161
0,639.0269043,13158,522075,300,493.4047882,181234866,10760
0,1998.724086,3348,196144,0,2327.680758,288072824,0
0,338.9411923,0,895311,372,2954.594935,331853960,2008
1,566.9953885,2284,181226,124,537.7180838,256542027,8986
1,865.4731526,3216,76248,96,324.8474416,26981854,20536
0,5498.403655,0,1443370,166,1062.51568,79922535,11954
1,114.23071,4645,202523,124,326.527407,300605088,5936
1,460.3173454,8666,530220,60,718.3780086,66139782,1757
1,584.2685065,2871,138184,0,170.749562,57029154,0
1,1970.659829,11960,709804,58,512.9156977,25744362,6374
1,369.442261,5368,782765,0,187.6195912,101525292,0
1,298.2170202,0,893312,112,286.6926374,250827575,6314
0,4629.355923,20447,1495916,94,774.037702,53531603,5915
1,1719.169379,21192,1353708,0,2281.09217,68280732,0
1,1545.912906,0,177420,30,2583.130396,340422240,5458
1,2339.368502,10689,57640,0,1555.709078,143248680,0
1,1120.02156,0,1113677,183,829.0718821,11828679,4989
1,2029.742136,-540,146268,204,4025.004968,315466140,8948
0,5221.325083,10005,738725,130,4647.511337,58728460,10992
0,1452.400674,17364,122395,195,39.13357888,5018396,17592
0,180.2970468,8690,772581,159,631.0396638,260928024,3846
1,532.1262642,181,1164546,93,1219.612383,136244875,709
1,4197.884878,4161,88530,0,2304.927793,136319424,0
1,101.3109827,3750,1626284,368,730.4170394,342601720,2652
1,1036.292256,11872,91206,72,1501.534576,233536755,7992
1,1599.8858,-531,382950,111,1564.053007,247931570,9912
1,567.7231628,6480,1145603,236,46.46790702,6304760,15052
0,2803.832431,6117,812268,138,2031.10849,125691750,13977
0,4381.37494,1750,35383,164,562.1159607,59112860,29120
0,55.09329216,0,1154775,89,80.82454323,1816576,698
1,2718.471434,13768,146250,0,2356.323944,334727678,0
0,769.098783,1886,519846,0,970.9477899,79420370,0
1,752.4395203,8785,141266,296,709.4553815,45681738,6932
1,3053.619366,8644,1419040,196,3089.092896,387029701,8436
1,90.0134502,-760,712480,80,2193.678043,255926907,197
1,5142.740889,-256,133980,63,94.55425355,950667,21375
1,401.6248582,5106,999040,0,1218.085919,149157472,0
0,852.5319031,11358,47925,142,673.8975057,154875622,5622
1,151.3881881,0,317120,160,1445.633108,329406080,976
0,1698.753618,12172,47136,24,45.95913312,4728077,1959
1,2234.226016,2877,1260630,87,661.3988332,112486666,4736
1,4474.570016,0,751961,356,2200.091257,44099247,22136
0,23.1631187,0,447296,116,20.3340355,2212830,524
0,1502.916576,6216,170592,288,784.8533547,236777856,16269
1,2187.262515,1862,1263730,65,586.7347938,52003380,6397
0,612.1220106,3567,693680,260,36.40960624,14376176,21116
0,1493.098602,17478,238644,28,1356.93093,282086847,8180
0,6919.312918,14112,814110,0,3227.659379,228451041,0
1,617.7225528,2784,819672,126,109.4298454,30984172,13497
1,2286.147181,0,89488,224,170.2220804,2114514,12732
0,1875.827368,3647,907392,0,717.7684593,71136538,0
0,3085.922834,3750,468065,0,2655.717485,259809130,0
1,808.0460984,616,451572,99,154.4132618,45511374,9702
1,194.4287944,11216,1479608,0,1010.378923,67574736,0
0,3967.742897,5754,120380,26,2917.659217,169704350,11600
0,1258.573687,13986,275880,76,978.7830747,61080576,2600
1,1567.606827,0,932025,51,1464.184996,307810635,4911
0,1048.758545,14975,276220,0,388.0475297,19164235,0
1,3623.04753,1408,1194368,128,2142.521636,37476634,10508
0,910.434777,20925,378974,114,1420.501168,478386697,9312
0,3438.655168,3504,903672,63,665.1330807,44510264,4565
1,39.28358983,-912,250038,58,82.8598342,347715412,1693
1,2206.349075,12125,1636068,336,190.1117718,5771619,13416
0,1159.488007,5748,84706,164,218.5550328,91418778,24680
1,317.0259988,6928,1185096,134,169.7357755,190774945,9096
0,182.3072026,24712,122482,141,47.99292019,52828056,19920
1,444.5563508,13395,259647,207,2329.152498,29432250,1818
0,863.3809718,17712,1075436,174,902.8731613,276010215,9510
1,12.5909314,3120,22242,198,281.3741828,168226520,570
1,1338.220183,19638,1440655,73,1120.032109,188859825,2300
1,5760.165649,3115,581010,0,2956.832555,86189410,0
1,531.79589,16660,179179,26,2431.868024,145373740,1138
1,1036.280705,11990,748220,44,1721.446909,65866320,2733
1,2895.914862,5001,454725,0,376.3264978,28018628,0
1,2005.352724,5710,343872,0,2080.962295,149605662,0
1,640.4788323,18720,704298,0,916.4123615,157193520,0
0,1596.632748,23324,1216085,130,1329.104742,306374772,11972
1,2286.913655,0,342464,192,1532.359808,230258749,15048
0,3103.801432,3672,25286,141,317.0671034,23869164,12393
1,715.8344913,22568,159525,75,664.1420513,167672843,2368
0,3129.602107,8946,393610,280,2528.41262,135645552,15388
0,1724.716368,6531,65773,212,3047.786459,159403881,10804
1,850.5114959,336,228038,34,341.479455,79828500,3736
1,1388.888561,18912,511917,57,1902.108652,300601994,3261
0,1067.617878,0,291697,196,475.1949485,252759678,25828
1,5919.048388,-1182,574056,336,3418.464263,229398213,26852
1,249.911091,9822,5828,376,17.36874235,11969928,19108
0,6569.437917,425,245637,196,2213.714876,171921568,28584
0,2198.627536,23471,1153474,188,1519.003609,117716400,4982
0,141.4186367,22708,1029182,77,20.41532198,15997824,2660
1,122.1799921,0,488050,150,92.866405,207146994,9153
1,397.8564862,1880,914546,0,2076.029679,124184928,0
0,3154.715445,7804,323340,34,856.8585175,120717408,14020
0,2702.070051,12365,391424,88,2869.246704,225008504,4364
1,634.204763,-348,714334,0,19.29924542,6321840,0
0,369.9105243,15680,1605663,0,505.1548692,164583081,0
1,259.3500747,3732,654327,69,375.8024338,77041530,559
0,874.2614053,22716,820710,396,124.5203472,34853243,14688
0,2794.919662,2886,63322,0,728.7647822,14302955,0
1,137.0634279,160,549072,246,15.70304902,4332496,10029
1,6616.546838,3672,242983,0,3883.584245,273615827,0
1,1477.734935,8424,1088415,380,155.5510458,33541808,20368
1,2373.617258,470,778623,177,2270.085523,290288754,9354
1,1719.228519,7074,836760,95,2211.93071,231990966,2959
0,699.5799627,20824,476190,156,439.0177156,338203073,12968
1,1919.54628,25192,244842,0,1875.751788,118559424,0
1,990.3530796,9414,231195,15,41.15408239,6106845,3730
0,2313.744052,0,4788,0,635.818745,135198499,0
0,541.5641478,9990,604792,34,516.3644624,336453453,3546
1,662.7558845,0,1206830,124,881.1863953,136921692,3374
0,762.7737816,2797,959025,0,1443.779478,3885265,0
1,2360.742655,27027,662625,150,1206.237755,122665719,5476
0,1012.485179,10278,495362,82,545.0155048,187406240,5536
0,2482.486884,16380,74230,0,3082.014128,223740048,0
1,2313.955356,-1135,428736,96,1338.11638,151997625,16428
0,325.6282158,28256,1031775,225,279.5788061,144035456,10119
1,1168.674566,1944,343791,81,528.7262365,57364795,8322
1,6.994233175,-15,784105,43,26.1178204,86753438,775
0,307.7355598,0,669639,0,403.6531369,10976680,0
0,175.0614383,468,997950,0,238.4419145,71833740,0
0,4092.221699,20566,92196,0,51.40982034,909810,0
0,840.5505698,7000,384120,0,666.6332332,199425623,0
1,2407.575863,6824,359120,80,769.8684146,99675680,13860
0,656.7927196,4960,322812,84,1267.158797,379257655,10016
0,2042.921272,13896,787860,0,2650.220417,338153895,0
1,1094.490465,12575,791370,81,1944.135024,5781693,1122
1,5065.957443,22456,365900,100,477.3364198,22436842,10146
1,1502.371862,-747,625494,0,567.7492978,4057464,0
1,5233.855516,8091,249396,84,3938.880956,77660320,17751
1,3518.345969,1520,114750,27,851.0978609,35733368,3952
1,207.7905041,-2030,692859,41,362.4497653,21673873,395
1,2063.712213,-810,545454,81,450.7713836,79078806,6588
0,456.0361576,4172,562205,105,154.4874782,123184754,13080
1,1576.033215,13279,1277712,216,2508.510093,320303808,8346
0,2422.086155,5253,406548,23,3263.078887,410381221,3577
1,2837.494938,0,633280,0,535.7890249,133974428,0
1,1359.105303,12050,614100,200,2101.570929,238939085,11752
0,1245.839963,25920,473850,108,828.1787828,39590074,5232
1,3517.414977,346,359343,108,956.8371074,41540679,21336
1,638.5767999,13540,120194,38,228.7373249,37467507,4330
0,2017.798653,3141,861072,48,64.64981182,21453040,7241
1,446.7038899,7122,959892,328,28.12406442,4158600,3812
0,142.5295976,4068,201120,384,123.1859867,285282882,13204
