URL,Phishing attack,Domain Age,Domain Registration Length,Having IP Address,HTTPS Token,URL Length,URL Shortening,@ Symbol,"Redirecting ""//""",Prefix/Suffix in Domain,Subdomains,SSL Final State,Domain Registration Country,Favicon Hosting,Port,HTTPS in URL,Request URL Ratio,Links in Meta/Script/Link,Server Form Handler (SFH),Submitting to Email,Iframe Redirection,Age of Domain,DNS Record,Website Traffic,PageRank,Content Length,Special Characters in Domain,Email in URL,Sensitive Words in URL,Response Time
https://www.yqmdsbajjo.com,0,7270,2967,No,No,34,Yes,No,Yes,Yes,3,Missing,Canada,No,Standard,No,0.971861363,0.953560145,Different Domain,Yes,No,Yes,Yes,80231,3,6381,1,Yes,1,915
,0,860,1424,,Yes,76,No,Yes,Yes,Yes,0,Valid,Canada,,Standard,No,0.48371631,0.801778048,Empty,No,No,Yes,,16138,9,19402,3,,1,1040
https://www.gdvbnwapfi.com,1,5390,-95,No,Yes,64,No,No,Yes,No,0,Missing,Brazil,No,Standard,No,0.878750371,0.177109356,Empty,Yes,Yes,Yes,Yes,99071,,6274,4,Yes,2,3094
https://www.mewqvnulwd.com,1,5226,-243,No,Yes,48,No,No,No,No,0,Missing,USA,No,Standard,Yes,0.734342948,0.587597514,Different Domain,Yes,No,Yes,Yes,71494,1,10255,4,No,2,841
https://www.czcnwnxdeh.com,1,,2338,No,Yes,74,No,No,No,No,2,Valid,Russia,Yes,Standard,,0.179018729,0.793561746,Same Domain,No,No,Yes,No,90465,1,2117,4,No,2,1140
,0,3772,915,No,No,84,Yes,Yes,Yes,Yes,2,Valid,Canada,No,Standard,No,0.845268736,0.144937559,Same Domain,No,No,No,No,32276,5,11980,2,Yes,2,1085
https://www.lzuhfdcqnd.com,0,3092,3362,Yes,No,11,No,No,Yes,Yes,1,Invalid,Russia,Yes,Non-standard,Yes,0.051078354,0.081915047,Same Domain,Yes,Yes,No,Yes,98687,6,6340,2,No,2,2774
https://www.mcikficwni.com,1,5734,,Yes,,78,Yes,,Yes,No,4,Valid,Brazil,No,Standard,No,0.507558187,0.891104893,Different Domain,No,Yes,No,Yes,85891,7,4666,0,No,4,3875
,1,6265,-107,Yes,No,95,Yes,Yes,Yes,Yes,1,Valid,USA,Yes,Non-standard,No,0.254113204,0.245043847,Different Domain,No,No,Yes,No,51508,7,9060,2,,3,468
https://www.lbyqjifzet.com,1,466,,Yes,Yes,71,No,No,Yes,Yes,4,Valid,Canada,Yes,Non-standard,No,0.36158621,0.497877941,Different Domain,No,No,No,No,66987,2,15949,2,Yes,0,1469
https://www.nnzamhwnfq.com,1,5334,1729,,No,55,Yes,Yes,No,Yes,1,Valid,USA,No,Standard,No,0.757028328,0.208745451,,No,Yes,No,No,51347,8,8182,4,No,0,452
https://www.cyzjslubul.com,0,4426,497,No,No,86,No,Yes,Yes,Yes,1,,Canada,Yes,Non-standard,No,0.683383489,0.047656532,Empty,No,No,No,Yes,65357,6,15584,,Yes,,3176
https://www.uolcfhonwv.com,0,5578,159,No,No,96,No,Yes,No,Yes,,Valid,Canada,No,Standard,No,0.440083525,0.513210424,,Yes,Yes,Yes,Yes,65478,4,6977,3,No,0,2571
https://www.ltojmzbrji.com,1,6231,522,Yes,Yes,40,No,No,No,,1,Missing,China,No,Non-standard,No,0.045918376,0.435080503,Different Domain,No,Yes,No,No,65227,7,2929,0,Yes,,1104
https://www.ddteiolmqw.com,1,3444,,Yes,No,44,Yes,No,Yes,No,2,Missing,Russia,Yes,Standard,Yes,0.039915729,0.726484012,Same Domain,Yes,No,No,No,90831,2,17490,4,Yes,2,4908
https://www.fttdgnfupt.com,1,3171,3017,Yes,Yes,54,No,No,No,No,4,Invalid,USA,Yes,Standard,Yes,0.702204537,0.857415396,Different Domain,Yes,Yes,Yes,No,22560,5,10470,1,No,4,521
https://www.ntaxbnlpxa.com,0,2919,,No,,86,No,Yes,No,Yes,1,Missing,Russia,No,Non-standard,No,0.948829567,0.141625018,Different Domain,No,No,Yes,No,4096,5,1778,1,No,0,3016
https://www.pnvehjnvow.com,1,130,-217,No,Yes,63,Yes,,Yes,No,1,Valid,Russia,No,Non-standard,No,0.847267196,0.171647992,Empty,No,No,No,Yes,,8,3289,2,Yes,0,1721
https://www.iwrsjorfcg.com,1,1685,,Yes,,80,No,No,Yes,No,0,Invalid,Russia,Yes,Standard,Yes,0.122184049,0.950253195,Empty,No,,Yes,No,1535,2,12254,2,No,4,3080
https://www.ryruckbmbx.com,1,769,72,,Yes,78,No,No,Yes,,2,Invalid,USA,Yes,Non-standard,No,0.121226875,0.41794884,Different Domain,No,No,No,No,20108,6,4595,3,Yes,2,4895
https://www.jwnfmyxgrv.com,1,2391,1837,No,Yes,38,Yes,,Yes,Yes,3,Invalid,Canada,Yes,Non-standard,No,0.610528423,0.952705696,Same Domain,No,,Yes,No,68348,2,14194,3,No,1,1293
https://www.uxldzqbtmk.com,1,5611,,No,Yes,81,No,Yes,No,Yes,0,Missing,Canada,No,Non-standard,Yes,0.657612361,,Same Domain,Yes,Yes,Yes,Yes,16111,4,19549,4,No,0,1447
https://www.ncubzamveo.com,0,6949,2796,No,No,17,Yes,No,Yes,No,3,Missing,Canada,No,Non-standard,No,0.616489147,0.347699103,Empty,No,No,Yes,Yes,1364,4,12142,0,No,0,2254
https://www.yorbskwebp.com,1,2433,,Yes,Yes,63,Yes,Yes,No,No,1,Missing,Canada,Yes,Non-standard,No,0.88539268,0.706983158,,Yes,,No,No,84573,8,17568,1,No,0,3145
https://www.potwnqjqfy.com,1,5311,3536,Yes,No,16,Yes,No,No,No,4,Invalid,Canada,No,Standard,Yes,0.231004661,0.096965624,Empty,Yes,No,Yes,No,63949,4,4260,0,No,0,2073
https://www.txtgnnbxbm.com,1,5051,-8,Yes,Yes,92,Yes,No,No,No,3,Missing,Canada,Yes,Standard,Yes,0.172294511,0.412967678,Empty,Yes,No,Yes,Yes,58986,2,3538,4,No,4,819
https://www.jwfatpyelz.com,1,6420,2880,Yes,Yes,32,Yes,Yes,Yes,No,3,Missing,Brazil,Yes,Non-standard,,0.914167552,0.380481679,Different Domain,No,No,No,No,61053,1,16455,2,No,3,3795
https://www.chvivnrsit.com,1,1184,875,No,Yes,41,Yes,Yes,No,No,3,Invalid,Brazil,No,Non-standard,Yes,0.722149626,0.035340088,Empty,Yes,No,No,No,25136,4,1426,3,No,3,3727
https://www.mmkrhcvuxx.com,0,4555,1565,No,No,71,Yes,Yes,No,Yes,4,Invalid,Canada,No,,No,0.711727172,0.312617789,Same Domain,Yes,Yes,Yes,No,32445,1,12030,2,No,4,4686
https://www.amtjdsjvdu.com,1,3385,,No,No,54,Yes,Yes,Yes,No,0,Valid,USA,,Standard,Yes,0.335378877,0.398509124,Empty,No,No,No,No,36483,,18102,4,Yes,2,161
https://www.rjmytzsscq.com,1,4117,,Yes,No,77,Yes,Yes,No,Yes,2,Invalid,Russia,No,Standard,Yes,0.62787198,0.0579933,Different Domain,No,,Yes,Yes,21089,0,19996,3,Yes,0,257
