URL,Domain Age,Domain Registration Length,Having IP Address,HTTPS Token,URL Length,URL Shortening,@ Symbol,"Redirecting ""//""",Prefix/Suffix in Domain,Subdomains,SSL Final State,Domain Registration Country,Favicon Hosting,Port,HTTPS in URL,Request URL Ratio,Links in Meta/Script/Link,Server Form Handler (SFH),Submitting to Email,Iframe Redirection,Age of Domain,DNS Record,Website Traffic,PageRank,Content Length,Special Characters in Domain,Email in URL,Sensitive Words in URL,Response Time,Phishing attack
https://www.yqmdsbajjo.com,7270.0,2967.0,No,No,34.0,Yes,No,Yes,Yes,3.0,Missing,Canada,No,Standard,No,0.971861363,0.953560145,Different Domain,Yes,No,Yes,Yes,80231.0,3.0,6381.0,1.0,Yes,1.0,915.0,0
https://www.mewqvnulwd.com,5226.0,-243.0,No,Yes,48.0,No,No,No,No,0.0,Missing,USA,No,Standard,Yes,0.734342948,0.587597514,Different Domain,Yes,No,Yes,Yes,71494.0,1.0,10255.0,4.0,No,2.0,841.0,1
https://www.lzuhfdcqnd.com,3092.0,3362.0,Yes,No,11.0,No,No,Yes,Yes,1.0,Invalid,Russia,Yes,Non-standard,Yes,0.051078354,0.081915047,Same Domain,Yes,Yes,No,Yes,98687.0,6.0,6340.0,2.0,No,2.0,2774.0,0
https://www.fttdgnfupt.com,3171.0,3017.0,Yes,Yes,54.0,No,No,No,No,4.0,Invalid,USA,Yes,Standard,Yes,0.702204537,0.857415396,Different Domain,Yes,Yes,Yes,No,22560.0,5.0,10470.0,1.0,No,4.0,521.0,1
https://www.ncubzamveo.com,6949.0,2796.0,No,No,17.0,Yes,No,Yes,No,3.0,Missing,Canada,No,Non-standard,No,0.616489147,0.347699103,Empty,No,No,Yes,Yes,1364.0,4.0,12142.0,0.0,No,0.0,2254.0,0
https://www.potwnqjqfy.com,5311.0,3536.0,Yes,No,16.0,Yes,No,No,No,4.0,Invalid,Canada,No,Standard,Yes,0.231004661,0.096965624,Empty,Yes,No,Yes,No,63949.0,4.0,4260.0,0.0,No,0.0,2073.0,1
https://www.txtgnnbxbm.com,5051.0,-8.0,Yes,Yes,92.0,Yes,No,No,No,3.0,Missing,Canada,Yes,Standard,Yes,0.172294511,0.412967678,Empty,Yes,No,Yes,Yes,58986.0,2.0,3538.0,4.0,No,4.0,819.0,1
https://www.chvivnrsit.com,1184.0,875.0,No,Yes,41.0,Yes,Yes,No,No,3.0,Invalid,Brazil,No,Non-standard,Yes,0.722149626,0.035340088,Empty,Yes,No,No,No,25136.0,4.0,1426.0,3.0,No,3.0,3727.0,1
https://www.xlsykvyisc.com,474.0,2514.0,No,No,76.0,Yes,Yes,No,Yes,0.0,Valid,Russia,Yes,Standard,Yes,0.590050379,0.362571612,Empty,Yes,Yes,No,No,11085.0,2.0,11236.0,3.0,Yes,3.0,1146.0,0
https://www.grcybfawjv.com,1082.0,120.0,No,Yes,31.0,Yes,Yes,No,Yes,3.0,Valid,Brazil,No,Non-standard,No,0.982031931,0.080059365,Same Domain,No,Yes,Yes,No,74267.0,1.0,12203.0,3.0,No,2.0,1929.0,1
https://www.dcovzeoxzy.com,7101.0,1106.0,No,Yes,69.0,No,No,No,No,1.0,Invalid,Canada,Yes,Standard,Yes,0.155820164,0.816430496,Different Domain,Yes,No,Yes,No,99077.0,7.0,3821.0,1.0,Yes,1.0,4680.0,0
https://www.tetcnbkqia.com,3005.0,422.0,No,No,80.0,Yes,No,No,Yes,4.0,Valid,USA,Yes,Non-standard,Yes,0.226339531,0.449275463,Different Domain,No,No,No,No,26837.0,3.0,4334.0,0.0,Yes,4.0,3788.0,0
https://www.nmetwyofgy.com,1899.0,2764.0,No,Yes,77.0,No,No,No,No,3.0,Invalid,USA,No,Non-standard,No,0.328815222,0.99528738,Same Domain,No,No,Yes,No,67006.0,4.0,1120.0,0.0,Yes,0.0,2840.0,0
https://www.suubmplgjh.com,6975.0,1713.0,No,Yes,95.0,No,No,Yes,No,4.0,Missing,USA,Yes,Standard,Yes,0.667621121,0.443994333,Different Domain,Yes,Yes,No,Yes,31654.0,8.0,18324.0,2.0,No,1.0,3170.0,0
https://www.wjerxhdcmt.com,3202.0,907.0,No,No,93.0,Yes,No,Yes,No,3.0,Valid,Brazil,Yes,Standard,Yes,0.967833557,0.068662676,Empty,Yes,No,No,Yes,73767.0,4.0,1551.0,1.0,No,0.0,2076.0,0
https://www.bgnsgvuxid.com,6310.0,1052.0,Yes,No,48.0,No,Yes,Yes,Yes,0.0,Invalid,China,No,Non-standard,No,0.261195967,0.844437854,Same Domain,Yes,Yes,Yes,Yes,85858.0,8.0,9257.0,3.0,Yes,4.0,4014.0,0
https://www.wyptrunzdv.com,241.0,3071.0,Yes,No,81.0,No,No,No,No,1.0,Valid,China,Yes,Standard,No,0.429724037,0.653941507,Empty,Yes,Yes,No,Yes,45607.0,3.0,15681.0,2.0,No,3.0,906.0,0
https://www.qfxwpgszlp.com,1363.0,1065.0,No,No,34.0,Yes,No,No,No,0.0,Valid,USA,No,Non-standard,Yes,0.273412049,0.4604071,Empty,Yes,No,Yes,No,26671.0,5.0,2694.0,1.0,Yes,1.0,3595.0,0
https://www.polbyvsixs.com,5486.0,3450.0,Yes,Yes,32.0,Yes,No,Yes,Yes,4.0,Missing,Canada,Yes,Standard,Yes,0.007796268,0.456824469,Empty,No,No,No,Yes,48107.0,7.0,17920.0,1.0,No,4.0,3661.0,1
https://www.ccdvixohso.com,3152.0,1696.0,Yes,No,74.0,No,Yes,No,Yes,4.0,Valid,Brazil,Yes,Non-standard,Yes,0.896802028,0.081249034,Same Domain,No,Yes,Yes,Yes,57141.0,9.0,18725.0,2.0,Yes,0.0,158.0,0
https://www.byzymqgqyk.com,1585.0,1907.0,Yes,Yes,27.0,No,Yes,No,No,1.0,Invalid,Canada,No,Standard,Yes,0.325443856,0.452614345,Same Domain,Yes,No,No,Yes,42556.0,6.0,9707.0,0.0,No,4.0,2557.0,1
https://www.qfkvydmyyb.com,1021.0,2955.0,Yes,Yes,63.0,Yes,Yes,Yes,No,0.0,Valid,Russia,Yes,Standard,No,0.554653395,0.355701543,Different Domain,No,Yes,Yes,Yes,73261.0,7.0,6613.0,4.0,No,2.0,4590.0,1
https://www.lduyropgzp.com,3843.0,1631.0,Yes,No,66.0,Yes,No,No,No,3.0,Invalid,USA,Yes,Standard,No,0.611817566,0.087978545,Different Domain,Yes,No,No,No,40764.0,1.0,14866.0,3.0,Yes,3.0,2430.0,1
https://www.wumnlcnacv.com,1500.0,3308.0,No,No,18.0,No,Yes,No,Yes,0.0,Valid,Canada,No,Non-standard,No,0.167868707,0.03615114,Empty,No,Yes,No,Yes,35267.0,9.0,17819.0,1.0,Yes,3.0,4839.0,0
https://www.ievazrxhyh.com,1981.0,361.0,No,Yes,11.0,Yes,Yes,No,No,2.0,Invalid,USA,No,Standard,No,0.3552406,0.443075222,Different Domain,Yes,Yes,Yes,No,1262.0,7.0,18833.0,4.0,No,3.0,2719.0,1
https://www.krrstahxek.com,1076.0,2779.0,No,Yes,62.0,Yes,No,No,No,2.0,Valid,Brazil,No,Standard,Yes,0.425408907,0.266932077,Empty,Yes,No,No,Yes,96900.0,6.0,8049.0,1.0,No,4.0,3722.0,1
https://www.nkmvbhpszh.com,6360.0,787.0,No,Yes,58.0,No,No,Yes,Yes,3.0,Missing,China,Yes,Non-standard,No,0.515317681,0.955493853,Empty,No,No,No,No,57074.0,7.0,8577.0,3.0,Yes,4.0,1673.0,0
https://www.xhhzoqgenh.com,4859.0,3305.0,Yes,No,16.0,No,No,Yes,Yes,3.0,Invalid,China,No,Standard,No,0.324116058,0.583618045,Empty,No,No,No,No,94574.0,3.0,3521.0,2.0,Yes,4.0,1803.0,0
https://www.zvfgjgowjq.com,4474.0,2809.0,Yes,No,34.0,No,No,Yes,Yes,4.0,Missing,USA,Yes,Non-standard,Yes,0.094429031,0.383358272,Empty,Yes,No,Yes,No,92776.0,3.0,8034.0,1.0,No,1.0,2678.0,0
https://www.fayvhhsjjs.com,7161.0,2259.0,No,Yes,96.0,No,No,No,No,1.0,Valid,USA,Yes,Non-standard,Yes,0.106153906,0.597999822,Same Domain,No,Yes,No,Yes,80874.0,8.0,13564.0,3.0,No,3.0,1173.0,0
https://www.gnrhttbiby.com,2690.0,2193.0,No,No,75.0,Yes,Yes,Yes,No,4.0,Missing,USA,Yes,Standard,No,0.18735956,0.23755647,Empty,Yes,Yes,No,No,87258.0,6.0,6961.0,0.0,Yes,4.0,2077.0,0
https://www.erazoblkib.com,3840.0,1116.0,No,Yes,13.0,No,Yes,No,Yes,0.0,Valid,China,No,Standard,No,0.735534839,0.520501064,Same Domain,No,Yes,No,No,64417.0,3.0,15088.0,1.0,No,1.0,4472.0,0
https://www.gddnhslhvn.com,502.0,1194.0,No,No,93.0,No,Yes,No,Yes,4.0,Valid,USA,No,Non-standard,No,0.206554845,0.675181658,Same Domain,Yes,No,Yes,No,75835.0,0.0,9627.0,2.0,No,2.0,4376.0,0
https://www.uboulpqqov.com,4493.0,1142.0,Yes,No,62.0,Yes,Yes,No,No,2.0,Missing,Canada,Yes,Non-standard,Yes,0.899940905,0.126195279,Same Domain,Yes,Yes,Yes,No,60207.0,2.0,2923.0,2.0,No,2.0,4261.0,1
https://www.xeklpebdii.com,5134.0,1608.0,Yes,Yes,24.0,Yes,No,No,No,4.0,Missing,Brazil,Yes,Standard,No,0.862275356,0.168576773,Different Domain,No,No,No,Yes,14002.0,2.0,3177.0,4.0,Yes,3.0,1927.0,1
https://www.kgrllbbxyc.com,5977.0,2913.0,No,No,83.0,Yes,No,Yes,No,2.0,Valid,Brazil,Yes,Standard,Yes,0.248419727,0.919926996,Same Domain,Yes,No,Yes,No,69197.0,0.0,17390.0,1.0,Yes,1.0,1155.0,0
https://www.molkmogpin.com,1484.0,929.0,No,Yes,31.0,Yes,Yes,Yes,Yes,4.0,Valid,Canada,Yes,Standard,No,0.84412853,0.076974872,Same Domain,No,No,No,No,70864.0,5.0,6533.0,1.0,No,2.0,4242.0,1
https://www.niouarmlyf.com,1757.0,1238.0,No,Yes,60.0,Yes,No,Yes,Yes,1.0,Valid,USA,Yes,Non-standard,No,0.582545003,0.261990521,Same Domain,Yes,Yes,No,Yes,24121.0,7.0,8837.0,4.0,No,1.0,2742.0,1
https://www.avrubniyod.com,6628.0,957.0,Yes,Yes,46.0,No,Yes,No,No,0.0,Invalid,Canada,No,Non-standard,No,0.67821898,0.088151555,Empty,Yes,No,No,No,29442.0,3.0,3004.0,1.0,No,1.0,1937.0,1
https://www.gpzopfbmsz.com,6374.0,1495.0,Yes,No,58.0,No,No,Yes,No,1.0,Invalid,Canada,Yes,Standard,Yes,0.116474379,0.309171608,Different Domain,No,Yes,Yes,No,15518.0,8.0,12238.0,4.0,No,0.0,1659.0,1
https://www.oteokiqzsd.com,3314.0,2684.0,No,Yes,85.0,Yes,Yes,Yes,Yes,0.0,Invalid,USA,Yes,Non-standard,No,0.757829012,0.111479258,Empty,Yes,No,No,No,60324.0,2.0,9209.0,4.0,No,4.0,1683.0,1
https://www.wojyikqell.com,3157.0,1860.0,Yes,Yes,56.0,No,No,Yes,No,2.0,Valid,China,No,Standard,No,0.098908683,0.094462154,Different Domain,No,No,No,No,82645.0,0.0,15952.0,4.0,Yes,2.0,3035.0,1
